INPUT: [No Input Found] | OUTPUT: [1,0.60111749]
INPUT: [No Input Found] | OUTPUT: [1,0.48974198]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.17836016]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.7898075]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.88481134]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.62483919]
INPUT: [No Input Found] | OUTPUT: [1,0.23966387]
INPUT: [No Input Found] | OUTPUT: [1,0.72313035]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.73294359,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.050190434]
INPUT: [No Input Found] | OUTPUT: [0.95194298,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.032895066,0]
INPUT: [No Input Found] | OUTPUT: [1,0.10521449]
INPUT: [No Input Found] | OUTPUT: [0.61021537,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.58265263]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.063405097]
INPUT: [No Input Found] | OUTPUT: [1,0.29983777]
INPUT: [No Input Found] | OUTPUT: [1,0.85708702]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.057818539,0]
INPUT: [No Input Found] | OUTPUT: [1,0.3811093]
INPUT: [No Input Found] | OUTPUT: [1,0.32843697]
INPUT: [No Input Found] | OUTPUT: [1,0.57456243]
INPUT: [No Input Found] | OUTPUT: [1,0.031473648]
INPUT: [No Input Found] | OUTPUT: [0.79963875,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.30527523]
INPUT: [No Input Found] | OUTPUT: [1,0.1158216]
INPUT: [No Input Found] | OUTPUT: [1,0.25145975]
INPUT: [No Input Found] | OUTPUT: [0.61464542,0]
INPUT: [No Input Found] | OUTPUT: [1,0.22121868]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.38763076]
INPUT: [No Input Found] | OUTPUT: [1,0.31431168]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.21329059]
INPUT: [No Input Found] | OUTPUT: [1,0.076283239]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.15668474,0]
INPUT: [No Input Found] | OUTPUT: [0.81496459,0]
INPUT: [No Input Found] | OUTPUT: [-0.47490811,0]
INPUT: [No Input Found] | OUTPUT: [1,0.21870118]
INPUT: [No Input Found] | OUTPUT: [-0.97562617,0]
INPUT: [No Input Found] | OUTPUT: [0.66028869,0]
INPUT: [No Input Found] | OUTPUT: [-0.52583462,0]
INPUT: [No Input Found] | OUTPUT: [1,0.29005751]
INPUT: [No Input Found] | OUTPUT: [-0.65591937,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.32347178,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.13316849,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.79965436,1]
INPUT: [No Input Found] | OUTPUT: [-0.066257492,0.58009148]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.60435939]
INPUT: [No Input Found] | OUTPUT: [-0.60008413,0.47422487]
INPUT: [No Input Found] | OUTPUT: [1,0.17499989]
INPUT: [No Input Found] | OUTPUT: [1,0.37233776]
INPUT: [No Input Found] | OUTPUT: [1,0.11933044]
INPUT: [No Input Found] | OUTPUT: [0.74341476,0]
INPUT: [No Input Found] | OUTPUT: [0.70420176,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.36474413]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.8030057,0.45696896]
INPUT: [No Input Found] | OUTPUT: [0.14205721,1]
INPUT: [No Input Found] | OUTPUT: [-0.52179724,0.27394566]
INPUT: [No Input Found] | OUTPUT: [0.3885439,0]
INPUT: [No Input Found] | OUTPUT: [1,0.71797925]
INPUT: [No Input Found] | OUTPUT: [1,0.37926334]
INPUT: [No Input Found] | OUTPUT: [1,0.83839041]
INPUT: [No Input Found] | OUTPUT: [1,0.13613611]
INPUT: [No Input Found] | OUTPUT: [1,0.1852203]
INPUT: [No Input Found] | OUTPUT: [1,0.33770782]
INPUT: [No Input Found] | OUTPUT: [0.83770591,0]
INPUT: [No Input Found] | OUTPUT: [1,0.99731433]
INPUT: [No Input Found] | OUTPUT: [1,0.27224427]
INPUT: [No Input Found] | OUTPUT: [1,0.33022082]
INPUT: [No Input Found] | OUTPUT: [1,0.74146575]
INPUT: [No Input Found] | OUTPUT: [1,0.60246903]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.22378203]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.89682972,0.14556922]
INPUT: [No Input Found] | OUTPUT: [0.15644063,0.76309466]
INPUT: [No Input Found] | OUTPUT: [0.8439458,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.92920256,0.080437079]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.11836822,0.52988309]
INPUT: [No Input Found] | OUTPUT: [1,0.80234331]
INPUT: [No Input Found] | OUTPUT: [1,0.36173436]
INPUT: [No Input Found] | OUTPUT: [1,0.52767169]
INPUT: [No Input Found] | OUTPUT: [1,0.14038135]
INPUT: [No Input Found] | OUTPUT: [0.11542736,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.87774658]
INPUT: [No Input Found] | OUTPUT: [1,0.2755338]
INPUT: [No Input Found] | OUTPUT: [-0.33169317,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.51733327]
INPUT: [No Input Found] | OUTPUT: [1,0.3431254]
INPUT: [No Input Found] | OUTPUT: [1,0.91140866]
INPUT: [No Input Found] | OUTPUT: [-1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.71345693,0.18702222]
INPUT: [No Input Found] | OUTPUT: [1,0.87367988]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.68651813,0]
INPUT: [No Input Found] | OUTPUT: [1,0.58095276]
INPUT: [No Input Found] | OUTPUT: [1,0.68944007]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.097024858]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.73825341]
INPUT: [No Input Found] | OUTPUT: [0.58897543,0.0083767995]
INPUT: [No Input Found] | OUTPUT: [1,0.69449693]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.73324871]
INPUT: [No Input Found] | OUTPUT: [1,0.13710383]
INPUT: [No Input Found] | OUTPUT: [1,0.70999753]
INPUT: [No Input Found] | OUTPUT: [1,0.16804768]
INPUT: [No Input Found] | OUTPUT: [1,0.2843025]
INPUT: [No Input Found] | OUTPUT: [1,0.59650779]
INPUT: [No Input Found] | OUTPUT: [1,0.52971256]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.94576108,0]
INPUT: [No Input Found] | OUTPUT: [1,0.21572661]
INPUT: [No Input Found] | OUTPUT: [1,0.46564043]
INPUT: [No Input Found] | OUTPUT: [1,0.73124528]
INPUT: [No Input Found] | OUTPUT: [0.075174741,0.76879793]
INPUT: [No Input Found] | OUTPUT: [1,0.2627916]
INPUT: [No Input Found] | OUTPUT: [1,0.0050114514]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.6454789,0]
INPUT: [No Input Found] | OUTPUT: [0.20074329,0.53956825]
INPUT: [No Input Found] | OUTPUT: [1,0.31298462]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.66777825]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.35754168]
INPUT: [No Input Found] | OUTPUT: [-1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.58119887]
INPUT: [No Input Found] | OUTPUT: [0.253079,0]
INPUT: [No Input Found] | OUTPUT: [1,0.08072798]
INPUT: [No Input Found] | OUTPUT: [1,0.18591957]
INPUT: [No Input Found] | OUTPUT: [1,0.38240907]
INPUT: [No Input Found] | OUTPUT: [1,0.56205606]
INPUT: [No Input Found] | OUTPUT: [0.49413362,0]
INPUT: [No Input Found] | OUTPUT: [0.94678998,0]
INPUT: [No Input Found] | OUTPUT: [0.58270532,0]
INPUT: [No Input Found] | OUTPUT: [0.91362393,0]
INPUT: [No Input Found] | OUTPUT: [1,0.48476028]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.98021537,0.80753505]
INPUT: [No Input Found] | OUTPUT: [1,0.99929839]
INPUT: [No Input Found] | OUTPUT: [1,0.47650003]
INPUT: [No Input Found] | OUTPUT: [0.2029562,0.75744325]
INPUT: [No Input Found] | OUTPUT: [1,0.14756919]
INPUT: [No Input Found] | OUTPUT: [0.55656862,0]
INPUT: [No Input Found] | OUTPUT: [1,0.68003559]
INPUT: [No Input Found] | OUTPUT: [1,0.55099303]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.28860071,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.4711467]
INPUT: [No Input Found] | OUTPUT: [1,0.60486412]
INPUT: [No Input Found] | OUTPUT: [1,0.41111678]
INPUT: [No Input Found] | OUTPUT: [-0.79083198,0.98127484]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.90734863,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.11859481]
INPUT: [No Input Found] | OUTPUT: [-0.55119735,0.67781472]
INPUT: [No Input Found] | OUTPUT: [1,0.7256307]
INPUT: [No Input Found] | OUTPUT: [1,0.58870763]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.177562]
INPUT: [No Input Found] | OUTPUT: [-0.54235333,0.33878493]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.17650023]
INPUT: [No Input Found] | OUTPUT: [1,0.64228022]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.77863193,0.29265845]
INPUT: [No Input Found] | OUTPUT: [1,0.58104706]
INPUT: [No Input Found] | OUTPUT: [1,0.32944185]
INPUT: [No Input Found] | OUTPUT: [1,0.71124935]
INPUT: [No Input Found] | OUTPUT: [0.53794175,0]
INPUT: [No Input Found] | OUTPUT: [1,0.85060906]
INPUT: [No Input Found] | OUTPUT: [0.89342183,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.70547086]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.090539008,0.46176204]
INPUT: [No Input Found] | OUTPUT: [1,0.62415755]
INPUT: [No Input Found] | OUTPUT: [0.42898479,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.44992206]
INPUT: [No Input Found] | OUTPUT: [1,0.1799576]
INPUT: [No Input Found] | OUTPUT: [-0.35035214,0]
INPUT: [No Input Found] | OUTPUT: [1,0.20660552]
INPUT: [No Input Found] | OUTPUT: [1,0.52663362]
INPUT: [No Input Found] | OUTPUT: [0.41353881,0.011049859]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.2840572]
INPUT: [No Input Found] | OUTPUT: [1,0.54118299]
INPUT: [No Input Found] | OUTPUT: [1,0.12825495]
INPUT: [No Input Found] | OUTPUT: [1,0.91212046]
INPUT: [No Input Found] | OUTPUT: [1,0.60459608]
INPUT: [No Input Found] | OUTPUT: [1,0.91174889]
INPUT: [No Input Found] | OUTPUT: [1,0.11134167]
INPUT: [No Input Found] | OUTPUT: [0.39210209,0.2463955]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.67400336]
INPUT: [No Input Found] | OUTPUT: [1,0.78794283]
INPUT: [No Input Found] | OUTPUT: [1,0.63347739]
INPUT: [No Input Found] | OUTPUT: [-0.74564552,1]
INPUT: [No Input Found] | OUTPUT: [1,0.48216558]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.19783665]
INPUT: [No Input Found] | OUTPUT: [1,0.35541236]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.061656877]
INPUT: [No Input Found] | OUTPUT: [0.52417868,0]
INPUT: [No Input Found] | OUTPUT: [1,0.54763579]
INPUT: [No Input Found] | OUTPUT: [1,0.3784714]
INPUT: [No Input Found] | OUTPUT: [1,0.65736926]
INPUT: [No Input Found] | OUTPUT: [1,0.39874554]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.38221341]
INPUT: [No Input Found] | OUTPUT: [1,0.88760352]
INPUT: [No Input Found] | OUTPUT: [1,0.181811]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.0580073]
INPUT: [No Input Found] | OUTPUT: [1,0.33711046]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.49166697,0.61848712]
INPUT: [No Input Found] | OUTPUT: [0.62081248,0]
INPUT: [No Input Found] | OUTPUT: [1,0.46000391]
INPUT: [No Input Found] | OUTPUT: [1,0.6328752]
INPUT: [No Input Found] | OUTPUT: [1,0.16799715]
INPUT: [No Input Found] | OUTPUT: [-0.90078443,0.51159924]
INPUT: [No Input Found] | OUTPUT: [1,0.51448417]
INPUT: [No Input Found] | OUTPUT: [1,0.62518096]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.24395403]
INPUT: [No Input Found] | OUTPUT: [1,0.27156457]
INPUT: [No Input Found] | OUTPUT: [1,0.36614338]
INPUT: [No Input Found] | OUTPUT: [0.73396218,0]
INPUT: [No Input Found] | OUTPUT: [1,0.31261855]
INPUT: [No Input Found] | OUTPUT: [1,0]
